ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
A,2020,FY,2020-10-31,5339000000,2837000000,846000000,842000000,719000000,719000000,USD
A,2021,FY,2021-10-31,6319000000,3407000000,1347000000,1360000000,1210000000,1210000000,USD
A,2022,FY,2022-10-31,6848000000,3722000000,1618000000,1504000000,1254000000,1254000000,USD
A,2023,FY,2023-10-31,6833000000,3465000000,1350000000,1339000000,1240000000,1240000000,USD
A,2024,FY,2024-10-31,6510000000,3535000000,1488000000,1521000000,1289000000,1289000000,USD
A21,2020,FY,2020-12-31,9456609000,1549339000,-669337000,-188877000,-151657000,-791985000,USD
A21,2021,FY,2021-12-31,4186125184,892942059,-157669889,-23683650,-49820876,-49820876,USD
AA,2020,FY,2020-12-31,9286000000,1317000000,431000000,173000000,-170000000,-170000000,USD
AA,2021,FY,2021-12-31,12152000000,2999000000,2077000000,1199000000,429000000,429000000,USD
AA,2022,FY,2022-12-31,12451000000,2239000000,1386000000,702000000,-123000000,-123000000,USD
AA,2023,FY,2023-12-31,10551000000,738000000,-159000000,-584000000,-651000000,-651000000,USD
AAC,2021,FY,2021-12-31,,,-6461616,15849072,15849072,15849072,USD
AAC,2022,FY,2022-12-31,,,-7342712,20983590,20983590,20983590,USD
AACG,2021,FY,2021-12-31,31339543,16241794,-10289409,-5881653,-5215200,-5215200,USD
AACG,2022,FY,2022-12-31,30734056,15232481,-8408893,-8101145,-7116996,-7116996,USD
AACG,2023,FY,2023-12-31,31325480,16206610,-5865378,-5727754,-4757820,-4757820,USD
AACI,2021,FY,2021-09-30,,,-184105,-183053,-468899,-468899,USD
AACT,2023,FY,2023-12-31,,,-1122892,16915460,16915460,16915460,USD
AAGH,2020,FY,2020-06-30,5474,2105,-46151,-51116,-51916,-51916,USD
AAGH,2021,FY,2021-06-30,195671,51353,-243560,-269054,-269054,-269054,USD
AAGH,2022,FY,2022-06-30,104648,-1483805,-4734098,-4924936,-4866153,-4866153,USD
AAGH,2023,FY,2023-06-30,204308,168588,-492644,-777340,-761420,-761420,USD
AAGH,2024,FY,2024-06-30,294670,169750,-782700,-1226362,-1220571,-1220571,USD
AAIC,2020,FY,2020-12-31,46014000,,33399000,-67716000,-67716000,-70707000,USD
AAIC,2021,FY,2021-12-31,25789000,,14085000,-7949000,-9515000,-12431000,USD
AAIC,2022,FY,2022-12-31,49456000,,34541000,9544000,5426000,2642000,USD
AAL,2020,FY,2020-12-31,17337000000,-5186000000,-10421000000,-11453000000,-8885000000,-8885000000,USD
AAL,2021,FY,2021-12-31,29882000000,2046000000,-5065000000,-2548000000,-1993000000,-1993000000,USD
AAL,2022,FY,2022-12-31,48971000000,11014000000,1607000000,186000000,127000000,127000000,USD
AAL,2023,FY,2023-12-31,52788000000,13746000000,3034000000,1121000000,822000000,822000000,USD
AAMC,2020,FY,2020-12-31,,-11977000,-20510000,-13951000,39821000,39779000,USD
AAMC,2021,FY,2021-12-31,,-5635000,-16624000,-8944000,81892076,81899032,USD
AAMC,2022,FY,2022-12-31,562302,,-11812000,-15584000,-10830076,-10814235,USD
AAMC,2023,FY,2023-12-31,-17322891,,-13181000,-31973000,-32546000,-32546000,USD
AAN,2020,FY,2020-12-31,1734919000,1083542000,187904726,-397814000,-265912000,-265912000,USD
AAN,2021,FY,2021-12-31,1845504000,1159489000,246236302,145870000,109934000,109934000,USD
AAN,2022,FY,2022-12-31,2249434000,1161773000,176261681,-14743000,-5280000,-5280000,USD
AAN,2023,FY,2023-12-31,2139890000,1119319000,137873617,-1058000,2823000,2823000,USD
AAOI,2020,FY,2020-12-31,234623000,50541000,-48842000,-51224000,-58452000,-58452000,USD
AAOI,2021,FY,2021-12-31,211565000,37715000,-56766000,-54160000,-54162000,-54162000,USD
AAOI,2022,FY,2022-12-31,222818000,33627000,-58998000,-66396000,-66397000,-66397000,USD
AAOI,2023,FY,2023-12-31,217646000,58921000,-41349000,-56039000,-56048000,-56048000,USD
AAON,2020,FY,2020-12-31,514551000,155849000,95358000,101975000,79009000,79009000,USD
AAON,2021,FY,2021-12-31,534517000,137830000,69232000,69182000,58758000,58758000,USD
AAON,2022,FY,2022-12-31,888788000,237572000,126749000,124533000,100376000,100376000,USD
AAON,2023,FY,2023-12-31,1168518000,399020000,227481000,223154000,177623000,177623000,USD
AAP,2020,FY,2020-12-31,10106321000,4481614000,749907000,651015000,493021000,493021000,USD
AAP,2021,FY,2021-12-31,10997989000,4923950000,822365000,782493000,596615000,596615000,USD
AAP,2022,FY,2022-12-31,9148874000,4232870000,524618000,460193000,464402000,464402000,USD
AAP,2023,FY,2023-12-31,9209075000,3860109000,54874000,-47178000,29735000,29735000,USD
