ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
A,2020,Q1,2020-01-31,1357000000,723000000,215000000,219000000,197000000,197000000,USD
A,2020,Q2,2020-04-30,1238000000,657000000,102000000,121000000,101000000,101000000,USD
A,2020,Q3,2020-07-31,1261000000,669000000,230000000,219000000,199000000,199000000,USD
A,2020,Q4,2020-10-31,1483000000,788000000,299000000,283000000,222000000,222000000,USD
A,2021,Q1,2021-01-31,1548000000,838000000,328000000,312000000,288000000,288000000,USD
A,2021,Q2,2021-04-30,1525000000,817000000,288000000,273000000,216000000,216000000,USD
A,2021,Q3,2021-07-31,1586000000,852000000,336000000,327000000,264000000,264000000,USD
A,2021,Q4,2021-10-31,1660000000,900000000,395000000,448000000,442000000,442000000,USD
A,2022,Q1,2022-01-31,1674000000,910000000,376000000,319000000,283000000,283000000,USD
A,2022,Q2,2022-04-30,1607000000,861000000,360000000,333000000,274000000,274000000,USD
A,2022,Q3,2022-07-31,1718000000,939000000,411000000,397000000,329000000,329000000,USD
A,2022,Q4,2022-10-31,1849000000,1012000000,471000000,455000000,368000000,368000000,USD
A,2023,Q1,2023-01-31,1756000000,968000000,426000000,410000000,352000000,352000000,USD
A,2023,Q2,2023-04-30,1717000000,924000000,383000000,377000000,302000000,302000000,USD
A,2023,Q3,2023-07-31,1672000000,658000000,133000000,132000000,111000000,111000000,USD
A,2023,Q4,2023-10-31,1688000000,915000000,408000000,420000000,475000000,475000000,USD
A,2024,Q1,2024-01-31,1658000000,908000000,384000000,403000000,348000000,348000000,USD
A,2024,Q2,2024-04-30,1573000000,856000000,363000000,374000000,308000000,308000000,USD
A,2024,Q3,2024-07-31,1578000000,855000000,333000000,343000000,282000000,282000000,USD
A,2024,Q4,2024-10-31,1701000000,916000000,408000000,401000000,351000000,351000000,USD
AA,2020,Q1,2020-03-31,2381000000,356000000,119000000,219000000,80000000,80000000,USD
AA,2020,Q2,2020-06-30,2148000000,216000000,15000000,-105000000,-197000000,-197000000,USD
AA,2020,Q3,2020-09-30,2365000000,327000000,113000000,22000000,-49000000,-49000000,USD
AA,2020,Q4,2020-12-31,2392000000,418000000,184000000,37000000,-4000000,-4000000,USD
AA,2021,Q1,2021-03-31,2870000000,578000000,337000000,312000000,175000000,175000000,USD
AA,2021,Q2,2021-06-30,2833000000,677000000,456000000,461000000,309000000,309000000,USD
AA,2021,Q3,2021-09-30,3109000000,787000000,570000000,497000000,337000000,337000000,USD
AA,2021,Q4,2021-12-31,3340000000,957000000,714000000,-71000000,-392000000,-392000000,USD
AA,2022,Q1,2022-03-31,3293000000,1112000000,899000000,763000000,469000000,469000000,USD
AA,2022,Q2,2022-06-30,3644000000,877000000,657000000,908000000,549000000,549000000,USD
AA,2022,Q3,2022-09-30,2851000000,183000000,-17000000,-729000000,-746000000,-746000000,USD
AA,2022,Q4,2022-12-31,2663000000,67000000,-153000000,-240000000,-395000000,-395000000,USD
AA,2023,Q1,2023-03-31,2670000000,266000000,-5000000,-180000000,-231000000,-231000000,USD
AA,2023,Q2,2023-06-30,2684000000,169000000,-42000000,-99000000,-102000000,-102000000,USD
AA,2023,Q3,2023-09-30,2602000000,133000000,-180000000,-228000000,-168000000,-168000000,USD
AA,2023,Q4,2023-12-31,2595000000,170000000,74000000,-77000000,-150000000,-150000000,USD
AA,2024,Q1,2024-03-31,2599000000,195000000,-37000000,-325000000,-252000000,-252000000,USD
AA,2024,Q2,2024-06-30,2906000000,373000000,128000000,92000000,20000000,20000000,USD
AA,2024,Q3,2024-09-30,2904000000,511000000,270000000,184000000,90000000,90000000,USD
AAC,2021,Q1,2021-03-31,,,-2352640,20380504,20380504,20380504,USD
AAC,2021,Q2,2021-06-30,,,-315129,-14050247,-14050247,-14050247,USD
AAC,2021,Q3,2021-09-30,,,-898976,13799616,13799616,13799616,USD
AAC,2021,Q4,2021-12-31,,,-2894871,-4280801,-4280801,-4280801,USD
AAC,2022,Q1,2022-03-31,,,-413517,17063156,17063156,17063156,USD
AAC,2022,Q2,2022-06-30,,,-354645,5940118,5940118,5940118,USD
AAC,2022,Q3,2022-09-30,,,-517715,8160214,8160214,8160214,USD
AAC,2022,Q4,2022-12-31,,,-6056835,-10179898,-10179898,-10179898,USD
AAC,2023,Q1,2023-03-31,,,-3910654,-10338862,-10338862,-10338862,USD
AAC,2023,Q2,2023-06-30,,,-4114099,2346495,2346495,2346495,USD
AAC,2023,Q3,2023-09-30,,,-3993893,7327055,7327055,7327055,USD
AACI,2023,Q3,2023-06-30,,,-910274,-477208,-559584,-559584,USD
AACT,2023,Q4,2023-12-31,,,-431376,6949682,6949682,6949682,USD
AACT,2024,Q1,2024-03-31,,,-455512,6393390,6393390,6393390,USD
AACT,2024,Q2,2024-06-30,,,-373422,6585367,6585367,6585367,USD
AACT,2024,Q3,2024-09-30,400000,,-18208000,-19144000,-19144000,-19144000,USD
AAGH,2022,Q1,2021-09-30,,,-298066,-331272,-331272,-331272,USD
AAGH,2022,Q2,2021-12-31,155680,-1395327,-1753440,-1801058,-1801058,-1801058,USD
AAGH,2022,Q3,2022-03-31,2744,2384,-647257,-609530,-609530,-609530,USD
AAGH,2022,Q4,2022-06-30,-53776,-90862,-2035334,-2183075,-2124292,-2124292,USD
AAGH,2023,Q1,2022-09-30,51938,24438,-128221,-192754,-182336,-182336,USD
AAGH,2023,Q2,2022-12-31,38230,30232,-95107,-128121,-124569,-124569,USD
AAGH,2023,Q3,2023-03-31,39452,39262,-111734,-213647,-212729,-212729,USD
AAGH,2023,Q4,2023-06-30,74688,74656,-157582,-242818,-241786,-241786,USD
AAGH,2024,Q1,2023-09-30,13808,13631,-74938,-156980,-156377,-156377,USD
AAGH,2024,Q2,2023-12-31,91179,82654,-153867,-249345,-248300,-248300,USD
AAGH,2024,Q3,2024-03-31,94032,82111,-134262,-228507,-226550,-226550,USD
AAGH,2024,Q4,2024-06-30,95651,-8646,-419633,-591529,-589344,-589344,USD
AAGH,2025,Q1,2024-09-30,140126,128791,-70859,-146967,-145404,-145404,USD
AAL,2020,Q1,2020-03-31,8515000000,798000000,-2549000000,-2890000000,-2241000000,-2241000000,USD
