ticker,period_end,fiscal_period,report_type,statement
TICK001,2021-03-31,Q,income_statement_quarterly,"{'Revenue': 93549.46531378446, 'NetIncome': 9383.092897343204, 'OperatingCashFlow': 34270.30741394765, 'EPS': 6.376217167163781}"
TICK001,2021-06-30,Q,income_statement_quarterly,"{'Revenue': 130866.57248395142, 'NetIncome': 1171.8419627244125, 'OperatingCashFlow': 34152.99445282735, 'EPS': 2.416420230740741}"
TICK001,2021-09-30,Q,income_statement_quarterly,"{'Revenue': 27266.208233398294, 'NetIncome': 8481.03939976056, 'OperatingCashFlow': 37628.81397995928, 'EPS': 2.341289923916287}"
TICK001,2021-12-31,Q,income_statement_quarterly,"{'Revenue': 139668.06880713272, 'NetIncome': 3527.0757754018027, 'OperatingCashFlow': 7244.536435599979, 'EPS': 5.940215891143465}"
TICK001,2022-03-31,Q,income_statement_quarterly,"{'Revenue': 19917.232714973085, 'NetIncome': 2232.9068361706695, 'OperatingCashFlow': 13765.703484491927, 'EPS': 3.6127265326530758}"
TICK001,2022-06-30,Q,income_statement_quarterly,"{'Revenue': 13912.55004218346, 'NetIncome': 2864.2660622720628, 'OperatingCashFlow': 38009.23100325654, 'EPS': 6.800576346960417}"
TICK001,2022-09-30,Q,income_statement_quarterly,"{'Revenue': 103148.21809483596, 'NetIncome': 11044.055196134397, 'OperatingCashFlow': 2678.320423135847, 'EPS': 2.476073345081777}"
TICK001,2022-12-31,Q,income_statement_quarterly,"{'Revenue': 51230.87002191975, 'NetIncome': 17372.469837646735, 'OperatingCashFlow': 36513.713849921354, 'EPS': 2.7646537974564716}"
TICK001,2023-03-31,Q,income_statement_quarterly,"{'Revenue': 148988.49576177957, 'NetIncome': 4362.93076048054, 'OperatingCashFlow': 22276.440655968192, 'EPS': 6.319900643265676}"
TICK001,2023-06-30,Q,income_statement_quarterly,"{'Revenue': 113829.62291359733, 'NetIncome': 6253.576926230852, 'OperatingCashFlow': 15653.598701957739, 'EPS': 5.269740479936458}"
TICK001,2023-09-30,Q,income_statement_quarterly,"{'Revenue': 90836.96607551754, 'NetIncome': 2822.8485288359266, 'OperatingCashFlow': 20683.315857876325, 'EPS': 0.9742899491358941}"
TICK001,2023-12-31,Q,income_statement_quarterly,"{'Revenue': 11238.906183434148, 'NetIncome': 3151.9183966044375, 'OperatingCashFlow': 17622.446733578563, 'EPS': 6.611593139636731}"
TICK001,2024-03-31,Q,income_statement_quarterly,"{'Revenue': 14922.741955139621, 'NetIncome': 13846.527169806177, 'OperatingCashFlow': 11142.833498621436, 'EPS': 6.711431514558821}"
TICK001,2024-06-30,Q,income_statement_quarterly,"{'Revenue': 108274.10795838777, 'NetIncome': 884.2870454825852, 'OperatingCashFlow': 7592.774306719933, 'EPS': 9.786465043069109}"
TICK001,2024-09-30,Q,income_statement_quarterly,"{'Revenue': 142512.30751723627, 'NetIncome': 7234.786805166721, 'OperatingCashFlow': 16436.290718631408, 'EPS': 9.476794826472327}"
TICK001,2024-12-31,Q,income_statement_quarterly,"{'Revenue': 90835.04659131152, 'NetIncome': 15238.019818538067, 'OperatingCashFlow': 16777.168080185864, 'EPS': 8.208032890435348}"
TICK002,2021-03-31,Q,income_statement_quarterly,"{'Revenue': 145077.078347628, 'NetIncome': 5675.230835563249, 'OperatingCashFlow': 12334.456570824557, 'EPS': 7.62354611808615}"
TICK002,2021-06-30,Q,income_statement_quarterly,"{'Revenue': 99274.88939248762, 'NetIncome': 18035.184519430502, 'OperatingCashFlow': 37754.3570717308, 'EPS': 4.536582726948052}"
TICK002,2021-09-30,Q,income_statement_quarterly,"{'Revenue': 27372.316744587733, 'NetIncome': 16338.400528561218, 'OperatingCashFlow': 7837.549949840705, 'EPS': 5.32204818798464}"
TICK002,2021-12-31,Q,income_statement_quarterly,"{'Revenue': 100453.00511757996, 'NetIncome': 14637.730029426022, 'OperatingCashFlow': 22333.7460527271, 'EPS': 5.661971495552616}"
TICK002,2022-03-31,Q,income_statement_quarterly,"{'Revenue': 31271.725356760195, 'NetIncome': 16180.421059983972, 'OperatingCashFlow': 34537.128087228935, 'EPS': 7.5718066349180715}"
TICK002,2022-06-30,Q,income_statement_quarterly,"{'Revenue': 76096.91950886218, 'NetIncome': 14568.846264099124, 'OperatingCashFlow': 38163.073668291174, 'EPS': 4.906400510355375}"
TICK002,2022-09-30,Q,income_statement_quarterly,"{'Revenue': 113276.66015304238, 'NetIncome': 3917.7682393420373, 'OperatingCashFlow': 38713.88990381753, 'EPS': 1.0835417671748837}"
TICK002,2022-12-31,Q,income_statement_quarterly,"{'Revenue': 124778.19384684792, 'NetIncome': 16981.879010701414, 'OperatingCashFlow': 11546.133511060529, 'EPS': 3.8639684841554875}"
TICK002,2023-03-31,Q,income_statement_quarterly,"{'Revenue': 115068.39148576825, 'NetIncome': 11017.635646988952, 'OperatingCashFlow': 25259.36391237441, 'EPS': 1.888307862958273}"
TICK002,2023-06-30,Q,income_statement_quarterly,"{'Revenue': 57237.62466842718, 'NetIncome': 12884.132336480956, 'OperatingCashFlow': 2476.294813183309, 'EPS': 3.0698450938318134}"
TICK002,2023-09-30,Q,income_statement_quarterly,"{'Revenue': 94617.33619384884, 'NetIncome': 15002.017537698177, 'OperatingCashFlow': 32906.52084791579, 'EPS': 9.13272166492035}"
TICK002,2023-12-31,Q,income_statement_quarterly,"{'Revenue': 53277.77495921868, 'NetIncome': 12598.469679211006, 'OperatingCashFlow': 38615.98555838679, 'EPS': 7.513804429281178}"
TICK002,2024-03-31,Q,income_statement_quarterly,"{'Revenue': 71351.9364712662, 'NetIncome': 6858.1111052258975, 'OperatingCashFlow': 15641.999225177535, 'EPS': 7.306381594633239}"
